"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"8265",6036,"VOI","MINI SUPERMAKETS",20,2,492
"8266",7142,"KASARANI","SHOPS",20,2,4743.8048
"8267",101,"VOI","SUPERMAKETS",20,2,1823.88
"8268",3045,"KILIMANJARO","MINI SHOPS",20,2,598.012
"8269",4968,"MTITO ANDEI","MINI SUPERMAKETS",20,2,1087.6086
"8270",6072,"MANYANGA","MINI SHOPS",20,2,6636.209
"8271",6072,"MANYANGA","MINI SHOPS",20,2,299.006
"8272",6072,"MANYANGA","MINI SHOPS",20,2,1812.681
"8273",6072,"MANYANGA","MINI SHOPS",20,2,508.0692
"8274",6072,"MANYANGA","MINI SHOPS",20,2,468.219
"8275",6072,"MANYANGA","MINI SHOPS",20,2,188.7935
"8276",6072,"MANYANGA","MINI SHOPS",20,2,438.477
"8277",6072,"MANYANGA","MINI SHOPS",20,2,360.082
"8278",6072,"MANYANGA","MINI SHOPS",20,2,578.286
"8279",6990,"MANYANGA","MINI SUPERMAKETS",20,2,98.49
"8280",8163,"KILIMANJARO","MINI SUPERMAKETS",20,2,362.5362
"8281",101,"VOI","SUPERMAKETS",20,2,950.9796
"8282",5145,"MANYANGA","MINI SUPERMAKETS",20,2,6636.209
"8283",7335,"VOI","MINI SUPERMAKETS",20,2,254.0346
"8284",1192,"MTITO ANDEI","SUPERMAKETS",20,2,2892
"8285",3888,"MANYANGA","SHOPS",20,2,1083.39
"8286",4957,"MAUA","SUPERMAKETS",20,2,1270.173
"8287",5142,"MTITO ANDEI","MINI SHOPS",20,2,2474.3
"8288",5142,"MTITO ANDEI","MINI SHOPS",20,2,470.5
"8289",5556,"MANYANGA","MINI SUPERMAKETS",20,2,897.0345
"8290",5556,"MANYANGA","MINI SUPERMAKETS",20,2,1181.88
"8291",5556,"MANYANGA","MINI SUPERMAKETS",20,2,2787.657
"8292",5893,"MANYANGA","SHOPS",20,2,723
"8293",5893,"MANYANGA","SHOPS",20,2,3066.625
"8294",5893,"MANYANGA","SHOPS",20,2,-1328.6163
"8295",5893,"MANYANGA","SHOPS",20,2,360.0695
"8296",8779,"MANYANGA","WHOLE SALE",20,2,102.4472
"8297",8792,"KITUI","SHOPS",20,2,1477.35
